Time (days), Displacement_Real (cm), Displacement_Imag (cm)
881.000000,25.283376,-32.635977
882.000000,25.363881,-32.728649
883.000000,25.554310,-32.807811
884.000000,25.693696,-32.939554
885.000000,25.843773,-33.047718
886.000000,25.935768,-33.057085
887.000000,25.900934,-33.060390
888.000000,25.798115,-32.933461
889.000000,25.803845,-32.927725
890.000000,25.777784,-32.943957
891.000000,25.742900,-33.024429
892.000000,25.733918,-33.069508
893.000000,25.814362,-33.205255
894.000000,25.898621,-33.460519
895.000000,25.955407,-33.721109
896.000000,25.942629,-34.093509
897.000000,25.974931,-34.498064
898.000000,25.846986,-34.905313
899.000000,25.642782,-35.399528
900.000000,25.513429,-35.804269
901.000000,25.430019,-36.147492
902.000000,25.258447,-36.505255
903.000000,25.143620,-36.933765
904.000000,25.075054,-37.342217
905.000000,24.923878,-37.724433
906.000000,24.781686,-38.233821
907.000000,24.773605,-38.596332
908.000000,24.729149,-38.891567
909.000000,24.587502,-39.290685
910.000000,24.471282,-39.502943
911.000000,24.323963,-39.706560
912.000000,24.163666,-40.001692
913.000000,24.049493,-40.338437
914.000000,23.942059,-40.623364
915.000000,23.816139,-40.989542
916.000000,23.624550,-41.356513
917.000000,23.389458,-41.696203
918.000000,23.099705,-42.035552
919.000000,22.791978,-42.327278
920.000000,22.646039,-42.644832
921.000000,22.525101,-42.951022
922.000000,22.374326,-43.213719
923.000000,22.228274,-43.618509
924.000000,22.114586,-44.129151
925.000000,22.032495,-44.671511
926.000000,21.982205,-45.156249
927.000000,22.018778,-45.579594
928.000000,22.025989,-46.017680
929.000000,22.059241,-46.315298
930.000000,22.042769,-46.499319
931.000000,21.887953,-46.679158
932.000000,21.704824,-46.591590
933.000000,21.645844,-46.539850
934.000000,21.565788,-46.419020
935.000000,21.570262,-46.314431
936.000000,21.619605,-46.349615
937.000000,21.619301,-46.239966
938.000000,21.763033,-46.220800
939.000000,21.958825,-46.197907
940.000000,22.203916,-46.032625
941.000000,22.357221,-45.834698
942.000000,22.447236,-45.627683
943.000000,22.577338,-45.451313
944.000000,22.785358,-45.273271
945.000000,22.971597,-44.969912
946.000000,23.268960,-44.730114
947.000000,23.528406,-44.529810
948.000000,23.817206,-44.382856
949.000000,24.078777,-44.280899
950.000000,24.397791,-44.201626
951.000000,24.661830,-44.083318
952.000000,24.898380,-43.969630
953.000000,24.998897,-43.924015
954.000000,25.112598,-43.758408
955.000000,25.222232,-43.674008
956.000000,25.361180,-43.622510
957.000000,25.512360,-43.569883
958.000000,25.598776,-43.648875
959.000000,25.726947,-43.796296
960.000000,26.039371,-44.027055
961.000000,26.273785,-44.436380
962.000000,26.556059,-44.646214
963.000000,26.767987,-44.891049
964.000000,26.891375,-45.049359
965.000000,26.918513,-45.191310
966.000000,26.986374,-45.394575
967.000000,27.050279,-45.581537
968.000000,27.173861,-45.720244
969.000000,27.271381,-45.931764
970.000000,27.271158,-46.032981
971.000000,27.256028,-46.034488
972.000000,27.236786,-46.043180
973.000000,27.265467,-46.004806
974.000000,27.200316,-46.061801
975.000000,27.002644,-46.070331
976.000000,26.858318,-46.087706
977.000000,26.669280,-45.982364
978.000000,26.461294,-45.959080
979.000000,26.314524,-45.786618
980.000000,26.183101,-45.629056
981.000000,26.076597,-45.452957
982.000000,26.069364,-45.184519
983.000000,26.143044,-44.858614
984.000000,26.209982,-44.629644
985.000000,26.230535,-44.491347
986.000000,26.159282,-44.435065
987.000000,26.118576,-44.303248
988.000000,26.255835,-44.194189
989.000000,26.458839,-44.128978
990.000000,26.659456,-44.063763
991.000000,26.758351,-43.926798
992.000000,26.755571,-43.814825
993.000000,26.713163,-43.690231
994.000000,26.393140,-43.751759
995.000000,26.134986,-43.857677
996.000000,25.994988,-44.033792
997.000000,25.876636,-44.241252
998.000000,25.744929,-44.486318
999.000000,25.727580,-44.739833
